Chemin, Paquet, Classe, TLOC, TASSERT, tcmp
./jfreechart-master/src/test/java/org/jfree/chart/renderer/AbstractRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/AbstractRendererTest, 552, 183, 3.02
./jfreechart-master/src/test/java/org/jfree/chart/renderer/DefaultPolarItemRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/DefaultPolarItemRendererTest, 44, 11, 4.00
./jfreechart-master/src/test/java/org/jfree/chart/renderer/LookupPaintScaleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/LookupPaintScaleTest, 108, 49, 2.20
./jfreechart-master/src/test/java/org/jfree/chart/renderer/AreaRendererEndTypeTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/AreaRendererEndTypeTest, 21, 5, 4.20
./jfreechart-master/src/test/java/org/jfree/chart/renderer/OutlierTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/OutlierTest, 44, 13, 3.38
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/ClusteredXYBarRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/ClusteredXYBarRendererTest, 90, 18, 5.00
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/AbstractXYItemRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/AbstractXYItemRendererTest, 95, 20, 4.75
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYSplineRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYSplineRendererTest, 66, 17, 3.88
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYStepAreaRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYStepAreaRendererTest, 90, 20, 4.50
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/WindItemRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/WindItemRendererTest, 41, 8, 5.13
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/StackedXYBarRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/StackedXYBarRendererTest, 93, 18, 5.17
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/DeviationRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/DeviationRendererTest, 46, 11, 4.18
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYBubbleRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYBubbleRendererTest, 90, 13, 6.92
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYStepRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYStepRendererTest, 97, 12, 8.08
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/HighLowRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/HighLowRendererTest, 94, 22, 4.27
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYAreaRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYAreaRendererTest, 147, 32, 4.59
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/StandardXYItemRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/StandardXYItemRendererTest, 160, 36, 4.44
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/StandardXYBarPainterTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/StandardXYBarPainterTest, 36, 6, 6.00
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/GradientXYBarPainterTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/GradientXYBarPainterTest, 46, 12, 3.83
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/StackedXYAreaRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/StackedXYAreaRendererTest, 123, 15, 8.20
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYBlockRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYBlockRendererTest, 114, 27, 4.22
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYErrorRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYErrorRendererTest, 97, 24, 4.04
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYBoxAndWhiskerRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYBoxAndWhiskerRendererTest, 92, 19, 4.84
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/YIntervalRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/YIntervalRendererTest, 146, 40, 3.65
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/StackedXYAreaRenderer2Test.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/StackedXYAreaRenderer2Test, 96, 16, 6.00
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/CandlestickRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/CandlestickRendererTest, 125, 38, 3.29
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/VectorRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/VectorRendererTest, 47, 11, 4.27
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYDotRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYDotRendererTest, 89, 16, 5.56
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYBarRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYBarRendererTest, 231, 55, 4.20
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYAreaRenderer2Test.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYAreaRenderer2Test, 103, 13, 7.92
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYLineAndShapeRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYLineAndShapeRendererTest, 196, 54, 3.63
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYShapeRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYShapeRendererTest, 103, 33, 3.12
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYDifferenceRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/XYDifferenceRendererTest, 115, 23, 5.00
./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/DeviationStepRendererTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/xy/DeviationStepRendererTest, 46, 11, 4.18
./jfreechart-master/src/test/java/org/jfree/chart/renderer/GrayPaintScaleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/renderer/GrayPaintScaleTest, 64, 20, 3.20
./jfreechart-master/src/test/java/org/jfree/chart/StackedBarChartTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/StackedBarChartTest, 92, 6, 15.33
./jfreechart-master/src/test/java/org/jfree/chart/XYLineChartTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/XYLineChartTest, 84, 5, 16.80
./jfreechart-master/src/test/java/org/jfree/chart/plot/PlotRenderingInfoTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/PlotRenderingInfoTest, 56, 18, 3.11
./jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedRangeXYPlotTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedRangeXYPlotTest, 157, 9, 17.44
./jfreechart-master/src/test/java/org/jfree/chart/plot/MeterIntervalTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/MeterIntervalTest, 43, 6, 7.17
./jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedDomainXYPlotTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/CombinedDomainXYPlotTest, 163, 10, 16.30
./jfreechart-master/src/test/java/org/jfree/chart/plot/MarkerTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/MarkerTest, 244, 63, 3.87
./jfreechart-master/src/test/java/org/jfree/chart/plot/CategoryMarkerTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/CategoryMarkerTest, 109, 26, 4.19
./jfreechart-master/src/test/java/org/jfree/chart/plot/ThermometerPlotTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/ThermometerPlotTest, 111, 37, 3.00
./jfreechart-master/src/test/java/org/jfree/chart/plot/PlotOrientationTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/PlotOrientationTest, 21, 6, 3.50
./jfreechart-master/src/test/java/org/jfree/chart/plot/MeterPlotTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/MeterPlotTest, 144, 49, 2.94
./jfreechart-master/src/test/java/org/jfree/chart/plot/SpiderWebPlotTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/SpiderWebPlotTest, 213, 70, 3.04
